Group,Plot1,Plot2,Plot3,Plot4,Plot5,Plot6,Plot7,Plot8,CM30c30,LB1
Otu376,0,0,4,0,0,0,0,0,0,0
Otu377,0,0,0,0,0,1,0,0,0,0
Otu378,0,0,0,0,1,0,0,0,0,0
Otu379,0,0,0,0,0,1,0,0,0,0
Otu380,0,0,1,0,0,0,0,0,0,0
Otu381,0,0,0,1,0,0,0,0,0,0
Otu382,0,0,0,2,0,4,3,0,0,0
Otu383,0,0,0,0,0,0,0,0,0,0
Otu384,0,0,0,0,0,0,0,1,0,0
Otu385,0,0,0,0,0,0,0,0,0,1
Otu386,0,9,0,3,0,0,0,0,0,0
Otu387,0,1,1,0,0,0,0,0,0,0
Otu388,0,1,0,0,0,0,0,0,0,0
Otu389,0,0,0,1,1,0,0,0,0,0
Otu390,0,0,0,0,0,0,0,1,0,0
Otu391,0,0,0,1,0,0,0,0,0,0
Otu392,0,0,0,0,0,0,0,0,1,0
Otu393,0,0,0,0,0,0,0,2,0,0
Otu394,0,0,0,0,0,0,0,1,0,0
Otu395,0,0,0,1,0,0,0,0,0,0
Otu396,0,1,0,1,0,0,0,0,0,0
Otu397,0,0,1,0,0,0,0,0,0,0
Otu398,0,0,2,0,0,0,0,0,0,0
Otu399,0,0,2,0,0,0,0,0,0,0
Otu400,0,0,1,0,0,0,0,0,0,0
Otu401,0,0,0,0,0,0,0,0,1,0
Otu402,0,1,3,0,1,1,0,0,4,0
Otu403,0,0,0,0,0,0,0,0,0,0
Otu404,0,0,0,0,0,0,0,0,0,0
Otu405,0,0,0,0,0,0,0,0,0,0
Otu406,0,0,0,0,0,0,0,0,0,0
Otu407,0,0,0,0,0,0,0,0,0,0
Otu408,0,0,0,0,0,0,0,0,0,0
Otu409,0,0,1,1,0,0,0,0,0,0
Otu410,0,0,0,0,0,0,0,0,0,0
Otu411,0,0,0,0,0,0,0,0,0,1
Otu412,0,0,0,0,0,0,1,0,0,0
Otu413,0,0,0,0,0,0,0,0,0,0
Otu414,0,0,0,0,0,0,0,0,0,0
Otu415,0,0,0,1,0,0,0,0,0,0
Otu416,0,0,0,0,0,0,0,0,0,1
Otu417,0,0,0,0,0,0,0,0,1,0
Otu418,0,1,0,1,0,0,0,0,0,0
Otu419,0,0,0,0,0,0,0,0,0,0
Otu420,0,0,0,0,0,0,0,0,0,0
Otu421,0,0,0,0,0,0,0,0,0,0
Otu422,0,0,0,0,0,0,0,0,0,0
Otu423,0,0,0,0,0,0,0,0,0,0
Otu424,0,0,0,0,0,0,0,0,0,0
Otu425,0,0,0,1,0,0,0,0,0,0
Otu426,0,0,0,0,0,0,0,0,0,0
Otu427,0,0,0,0,0,1,0,0,0,0
Otu428,0,0,0,0,0,0,0,0,0,0
Otu429,0,0,0,0,0,0,0,0,0,0
Otu430,0,0,0,0,0,0,0,0,0,0
Otu431,0,0,0,0,0,0,0,0,0,1
Otu432,0,0,1,0,0,0,0,0,0,0
Otu433,0,0,0,0,0,0,1,0,0,0
Otu434,0,1,0,0,0,0,0,0,0,0
Otu435,0,0,1,0,0,0,0,0,1,0
Otu436,0,0,1,0,0,0,0,0,0,0
Otu437,0,0,0,0,0,0,1,0,0,0
Otu438,0,0,0,0,0,0,1,0,0,0
Otu439,0,0,0,0,0,0,1,0,0,0
Otu440,0,0,0,0,0,0,0,0,0,0
Otu441,0,0,0,0,0,0,1,0,0,0
Otu442,1,0,0,0,0,0,0,0,0,0
Otu443,1,0,0,0,0,0,0,0,0,0
Otu444,0,1,0,0,0,0,0,0,0,0
Otu445,0,0,1,0,0,0,0,0,0,0
Otu446,0,0,0,2,0,0,0,0,1,0
Otu447,0,0,0,0,0,0,0,0,0,0
Otu448,0,0,0,0,0,0,0,0,0,0
Otu449,0,0,0,0,0,0,0,0,0,0
Otu450,0,0,0,0,0,0,0,0,0,0
Otu451,0,0,0,0,0,0,0,0,0,0
Otu452,0,0,0,0,0,0,0,0,0,0
Otu453,0,0,0,0,0,0,0,0,0,0
Otu454,0,0,0,0,0,0,0,0,0,0
Otu455,0,0,0,0,0,0,0,0,0,0
Otu456,0,0,0,0,0,0,0,0,0,0
Otu457,0,0,0,0,0,0,0,1,0,0
Otu458,0,0,0,0,0,0,0,1,0,0
Otu459,0,1,0,0,0,0,0,0,0,0
