OTU_id	Plot03-H	CM30c39-A	CM30c-P	Plot06-I	CM30c46-O	CM30b58-I	CM30c44-C	Plot03-N	Plot04-A	LB5-I	CM30c30-L	CM30c28-P	CM30c60-B	CM30b51-B	CM30c46-D	Plot01-B	CM30c-O	CM30d12-H	Plot08-O	CM30c37-E	CM30c35-D	Plot01-L	Plot05-N	Plot07-M	CM30d12-L	CM30c53-B	CM31a5-B	CM30c53-I	CM30c37-L	CM30c30-N	CM30b60-M	LB5-A	CM30b51-M	CM30c39-E	LB1-A	CM30b58-C	CM30d3-D	CM30d3-L	CM30c28-N	Plot04-N	Plot02-M	LB1-E	CM30b60-E	CM30c62-D	CM30c60-A	CM30c62-M	Plot07-N	Plot06-N	Plot08-I	CM30c51-H	CM31a5-A	CM30c51-I	Plot05-I	CM30c44-B	CM30c35-B	Plot02-C
M00598_54_000000000-ABCWN_1_1101_11400_8883|gene_FolCO1	0	58	0	335	0	0	607	0	28	0	0	0	0	293	0	132	42	0	0	0	0	247	0	15	0	0	0	0	12	0	119	0	2	0	0	0	233	0	0	32	2	0	491	0	117	0	4	39	0	0	0	0	0	141	0	0
M00598_54_000000000-ABCWN_1_1101_9697_4597|gene_FolCO1	0	0	0	0	0	0	0	0	0	630	0	0	0	0	0	0	0	26	70	0	0	0	0	0	42	0	0	0	0	138	0	0	0	8	0	2	0	0	0	0	0	103	0	0	0	0	0	0	215	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1105_14979_2172|gene_FolCO1	19	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	1	2257	0	16	0	109	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	89	31	0	0	0	0	0	5	0	7	0	3	0
M00598_54_000000000-ABCWN_1_1101_17279_13195|gene_FolCO1	0	0	0	190	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	32	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1292	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1102_21829_11971|gene_FolCO1	0	1	15	85	0	0	0	0	0	28	0	0	0	0	0	0	0	8	117	95	0	0	6	43	36	0	0	0	65	0	17	0	0	49	0	0	215	264	0	0	0	92	0	0	0	0	0	175	0	0	0	0	9	0	0	0
M00598_54_000000000-ABCWN_1_2102_18858_14558|gene_FolCO1	0	0	0	0	0	0	0	0	1	3	31	0	0	0	1069	0	0	14	0	0	0	0	0	0	0	44	0	0	0	54	0	22	24	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_9544_20811|gene_FolCO1	0	0	3	0	0	0	0	0	0	110	9	5	0	0	649	0	0	13	0	0	0	0	0	0	0	235	0	163	0	26	0	6	57	0	8	0	0	0	31	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_6227_10986|gene_FolCO1	0	124	0	23	0	0	433	0	0	0	0	0	0	0	0	4	0	0	0	19	0	0	0	83	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	347	0	17	0	257	15	0	95	0	255	0	2	0	1
M00598_54_000000000-ABCWN_1_1104_16369_24618|gene_FolCO1	0	0	37	0	0	1	0	955	0	0	0	224	57	0	0	0	0	7	23	0	0	0	0	0	0	43	108	83	0	23	0	0	0	11	0	623	0	61	81	11	3	1	0	138	0	47	0	0	67	0	59	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1103_13731_11343|gene_FolCO1	0	0	0	3	0	0	0	0	465	5	0	0	0	55	0	0	8	0	0	1	0	5	0	0	0	45	0	0	0	0	3	1	10	0	0	0	5	12	0	844	0	0	32	0	0	0	0	0	0	0	0	0	0	23	0	0
M00598_54_000000000-ABCWN_1_1101_25182_12019|gene_FolCO1	0	562	0	12	0	0	303	0	0	0	0	0	0	0	0	0	32	0	0	325	0	0	0	46	0	1	0	0	156	0	0	0	0	0	0	0	31	0	0	0	0	0	513	0	0	0	532	0	0	0	0	0	0	80	0	0
