CM30c60	CM30c28	CM30b58	CM30c37	CM30c62	CM30c30	Plot08	Plot03	Plot07	LB1	LB5	CM30b60	Plot04	CM30c39	CM30c51	CM30c53	CM31a5	Plot05	Plot01	CM30c	Plot02	CM30c35	CM30d12	CM30c46	CM30c44	CM30d3	CM30b51	Plot06
M01895_13_000000000-ABYEE_1_1110_9978_9468|gene_18S	0	0	0	100	35	1	3	8	2	45	96	36	83	0	103	31	10	72	24	0	17	77	72	0	1	178	76	4
M01895_13_000000000-ABYEE_1_1101_11726_10277|gene_18S	137	312	23	5	153	3	2	139	2	2	11	1	57	0	6	816	47	7	17	87	29	10	17	0	1	12	5	4
M01895_13_000000000-ABYEE_1_1101_14643_1846|gene_18S	0	0	0	0	0	0	0	792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1112_26337_6989|gene_18S	11	4	25	19	19	23	6	58	17	29	650	33	376	2	11	7	3	48	64	43	0	0	26	0	1	47	10	44
M01895_13_000000000-ABYEE_1_1102_21182_25613|gene_18S	3	101	0	0	0	1	1	13	0	10	0	0	0	1	0	82	0	8	0	334	282	7	55	51	1	0	0	1
M01895_13_000000000-ABYEE_1_2106_21307_23407|gene_18S	0	0	0	0	0	0	0	0	0	0	10	694	1	0	0	0	0	0	0	0	0	0	0	0	202	0	49	0
M01895_13_000000000-ABYEE_1_1101_14472_24070|gene_18S	34	27	199	1	32	0	2	18	5	5	7	0	302	1	7	3	0	181	0	2	262	122	14	0	7	43	2	22
M01895_13_000000000-ABYEE_1_2104_6906_11015|gene_18S	30	17	20	7	53	4	40	31	10	9	11	4	60	5	26	39	82	52	7	74	119	130	38	2	1	63	31	22
M01895_13_000000000-ABYEE_1_1102_9144_16655|gene_18S	35	79	12	7	13	14	9	94	2	55	54	6	351	2	37	36	27	37	0	2	20	23	20	73	11	126	64	137
M01895_13_000000000-ABYEE_1_1105_11640_6974|gene_18S	68	158	2	0	88	73	12	10	0	9	62	0	28	0	33	24	83	45	4	25	13	0	88	23	0	0	3	4
M01895_13_000000000-ABYEE_1_1101_6930_7521|gene_18S	0	0	14	3	1	0	1	1	0	5	25	0	543	2	0	0	0	43	0	1	0	0	23	1	0	117	9	20
M01895_13_000000000-ABYEE_1_2108_5113_20487|gene_18S	46	132	29	65	172	13	255	177	27	3	69	80	112	21	12	28	3	365	8	12	719	312	12	4	2	0	4	3
M01895_13_000000000-ABYEE_1_1110_4216_17701|gene_18S	0	0	57	0	0	44	23	0	0	377	135	0	0	0	0	0	0	0	0	0	0	0	74	5	0	0	0	0
M01895_13_000000000-ABYEE_1_1114_3718_20001|gene_18S	38	104	40	14	78	95	127	75	26	27	41	22	50	13	26	189	35	85	0	82	117	182	50	35	0	155	54	59
M01895_13_000000000-ABYEE_1_1101_14689_1631|gene_18S	6	10	0	0	0	0	0	0	0	0	715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
M01895_13_000000000-ABYEE_1_1104_9531_19128|gene_18S	60	55	19	9	43	6	30	33	31	36	34	18	130	5	45	50	66	50	37	22	22	78	20	4	4	82	65	30
M01895_13_000000000-ABYEE_1_1101_6809_7815|gene_18S	0	0	0	0	0	0	0	756	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1102_5391_15932|gene_18S	0	53	3	14	6	0	155	98	0	163	79	87	3	0	1	37	0	118	0	2	2	1	19	4	0	12	6	0
M01895_13_000000000-ABYEE_1_1102_22812_14693|gene_18S	0	1	0	0	62	0	0	0	0	0	0	0	0	1	1	0	694	0	3	4	1	2	0	0	0	0	1	0
M01895_13_000000000-ABYEE_1_1101_15709_11251|gene_18S	39	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	240	275	0	0	45	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2101_22919_26050|gene_18S	0	0	5	1	0	1	25	5	20	1	2	0	1	0	6	0	2	15	1	2	703	0	0	0	3	14	6	31
M01895_13_000000000-ABYEE_1_1111_20581_10347|gene_18S	15	15	39	34	8	44	31	12	12	94	31	12	19	5	26	34	63	52	9	8	5	44	65	63	4	173	140	45
M01895_13_000000000-ABYEE_1_1107_9970_14149|gene_18S	0	7	72	6	0	6	4	81	13	12	61	9	316	7	0	0	0	93	0	8	0	0	195	2	0	32	4	43
M01895_13_000000000-ABYEE_1_2105_5454_18225|gene_18S	0	0	0	0	0	0	1	0	0	0	0	0	687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1112_2535_19786|gene_18S	13	78	57	2	8	117	7	21	8	94	73	16	31	2	0	17	6	17	0	15	52	0	37	19	2	150	13	28
M01895_13_000000000-ABYEE_1_1101_16892_3954|gene_18S	1	105	2	0	0	1	10	672	0	0	6	0	3	0	0	0	0	3	3	0	133	0	3	0	0	0	38	3
M01895_13_000000000-ABYEE_1_2114_3921_16537|gene_18S	5	15	19	0	470	8	8	67	0	7	24	4	0	0	107	8	61	240	16	185	942	158	0	539	0	6	0	7
M01895_13_000000000-ABYEE_1_1102_18802_11096|gene_18S	77	3	2	2	150	0	0	1	0	3	1	2	18	0	56	8	25	17	218	9	53	47	0	0	0	5	8	32
M01895_13_000000000-ABYEE_1_1101_14008_2131|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	723	0	0	5	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_20624_4105|gene_18S	262	182	646	14	228	36	174	14	8	55	36	41	16	1	11	300	140	15	0	36	20	101	49	31	2	43	49	12
M01895_13_000000000-ABYEE_1_2106_18077_6152|gene_18S	3	5	5	18	1	50	4	59	39	92	63	5	459	5	2	12	0	44	4	0	4	59	23	135	10	115	34	7
M01895_13_000000000-ABYEE_1_2110_18461_10459|gene_18S	16	20	24	66	26	3	77	71	138	44	38	34	91	28	64	16	22	219	28	55	45	67	22	20	12	117	62	77
M01895_13_000000000-ABYEE_1_1105_16886_20387|gene_18S	0	0	0	0	0	0	35	7	0	0	0	0	0	0	0	0	0	40	0	0	28	687	24	27	15	71	0	0
M01895_13_000000000-ABYEE_1_1106_6320_8085|gene_18S	57	55	29	19	23	92	41	46	51	66	160	2	30	5	24	32	41	79	6	22	49	61	44	47	5	74	32	38
M01895_13_000000000-ABYEE_1_1101_15574_26704|gene_18S	0	3	6	4	48	0	11	1	0	1	79	2	529	0	2	0	6	23	5	4	51	0	52	0	0	5	38	21
M01895_13_000000000-ABYEE_1_1103_10941_22510|gene_18S	5	3	16	63	13	1	92	25	144	32	12	38	3	34	10	3	1	121	3	0	24	21	13	0	6	76	2	37
M01895_13_000000000-ABYEE_1_1114_8996_16414|gene_18S	0	12	2	8	0	1	471	30	0	0	0	8	0	4	2	2	0	14	0	8	42	0	17	0	0	2	0	2
M01895_13_000000000-ABYEE_1_1111_16272_22209|gene_18S	0	0	42	73	1	1	0	403	0	0	34	0	4	0	0	5	4	12	2	5	56	10	0	0	0	0	5	0
M01895_13_000000000-ABYEE_1_1101_17777_7712|gene_18S	351	198	97	18	61	45	53	120	62	100	167	53	114	1	14	357	95	26	32	263	25	95	59	39	5	171	55	67
M01895_13_000000000-ABYEE_1_1101_21275_7105|gene_18S	0	0	0	0	0	427	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_18623_9241|gene_18S	0	0	0	0	0	447	5	0	0	1	141	0	0	0	0	8	0	0	0	0	0	0	6	4	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_14110_1892|gene_18S	7	1	0	0	0	0	0	0	0	0	0	87	0	376	0	0	0	0	3	0	0	0	0	0	443	0	0	0
