OTU_id	CM30c60-A	CM30c37-L	CM30c28-N	CM30c28-P	CM30c60-B	Plot04-A	Plot08-I	CM30b58-C	CM30c30-L	CM30b60-M	Plot03-N	LB5-A	CM30c53-I	CM30c62-D	Plot07-N	CM30c37-E	Plot07-M	Plot05-I	CM30c39-A	LB1-E	CM30c30-N	CM30c62-M	CM30d12-L	Plot03-H	CM30c44-B	CM30c39-E	LB1-A	CM30c51-H	Plot08-O	CM30c35-D	CM30b60-E	CM30c-O	CM30c46-O	CM30b51-B	CM30b58-I	CM30d12-H	LB5-I	CM30c44-C	CM30d3-D	CM30d3-L	CM30c51-I	CM31a5-B	Plot05-N	Plot01-B	CM31a5-A	Plot04-N	CM30c53-B	CM30c35-B	Plot06-N	Plot06-I	Plot02-C	Plot01-L	CM30c46-D	Plot02-M	CM30c-P	CM30b51-M
M01895_13_000000000-ABYEE_1_1101_14818_1494|gene_ITS	0	0	1	0	0	1	2	0	4	0	0	0	0	10736	0	1	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1102_15371_17517|gene_ITS	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2831	3	1034	0	0	0	0	0	0	1	0	0	0	0	0	1	2464	0	0	1	9	1	2	2	1624	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0
M01895_13_000000000-ABYEE_1_1101_23939_8841|gene_ITS	0	0	0	0	0	0	0	1	189	0	0	6891	0	0	0	0	0	0	0	0	10	0	0	0	0	0	3248	2	0	0	0	0	1	0	0	0	2315	0	0	2	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1
M01895_13_000000000-ABYEE_1_1102_20414_12028|gene_ITS	0	0	7	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	3	0	0	9771	2	0	0	0	0	1
M01895_13_000000000-ABYEE_1_2113_22891_12643|gene_ITS	0	0	0	0	0	0	0	2	891	1	0	183	0	1	0	1	0	1	0	0	2459	1	0	0	0	0	3329	1	1	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_21526_20941|gene_ITS	0	5	0	1	0	0	55	4	0	0	71	1	1	1	0	0	0	133	0	0	1	1	59	1393	0	0	0	1	602	2392	0	0	2743	768	0	23	1	0	0	1171	0	8	669	0	0	0	2	27	2	2	0	0	33	134	0	2
M01895_13_000000000-ABYEE_1_1105_5663_14851|gene_ITS	0	0	1	2	0	2	3	0	10394	3	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_19504_1997|gene_ITS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4343	0	0	0	0	3	2	0	0	0	1	0	0	1	1	10444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1110_7503_25775|gene_ITS	0	1072	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	4	0	0	16443	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	5	3	4	0	0	0	0	0	0	0	0	1	0	0	3	0
M01895_13_000000000-ABYEE_1_1108_10923_2982|gene_ITS	0	0	0	0	0	0	2	1	0	0	0	6635	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	132	0	0	1	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	1
M01895_13_000000000-ABYEE_1_1101_16017_7117|gene_ITS	174	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	1	0	0	0	3	5	0	3	11265	0	0	0	0	2
M01895_13_000000000-ABYEE_1_1102_18305_23966|gene_ITS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	3	3	8	0	0	15003	0	0	0	0	1	0	0	0	0	0	8	0	0	0	1	0	0	5	3	0	0	0	0	0	0	0	0	0	3	0	0	2	0
M01895_13_000000000-ABYEE_1_1106_9625_22927|gene_ITS	0	0	0	0	0	0	2252	0	0	1	0	0	0	2	0	0	0	2	0	0	301	0	117	0	0	0	2	3	17	0	0	2	0	0	0	4711	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0
M01895_13_000000000-ABYEE_1_2109_14261_7842|gene_ITS	0	0	0	1	0	0	0	1	1188	0	0	0	0	1	0	0	0	0	0	0	1931	1	0	0	0	0	0	0	3	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2429	1	0	624
M01895_13_000000000-ABYEE_1_1101_14213_1945|gene_ITS	0	0	0	1	0	0	0	0	0	0	0	0	7688	0	0	0	0	0	0	0	5715	3	0	1	0	0	0	0	0	0	1	0	0	3	0	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M01895_13_000000000-ABYEE_1_1102_17319_10532|gene_ITS	0	0	1	0	0	0	7350	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
M01895_13_000000000-ABYEE_1_1101_14332_2911|gene_ITS	0	0	0	0	0	0	4	0	290	0	0	5510	1	0	0	0	0	0	0	2	107	0	0	0	0	0	89	0	0	0	0	0	1	0	0	118	55	0	0	0	0	0	0	0	0	0	4	0	0	2	1	0	59	0	0	1
M01895_13_000000000-ABYEE_1_1101_15933_1462|gene_ITS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	4	10178	309	0	0	2	0	0	69	334	4	0	0	1	5	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1112_4692_16082|gene_ITS	0	0	319	1	0	1	5	0	0	0	0	1	2578	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	7147	0	0	0	0	0	0	1	0	0
M01895_13_000000000-ABYEE_1_2107_11028_19971|gene_ITS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	5001	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2101_23533_16520|gene_ITS	0	0	2	0	0	0	1	0	3	3	0	0	0	0	0	0	1	0	2421	5796	0	0	1	0	439	0	0	0	0	0	253	1	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	18	0	0	0	0
M01895_13_000000000-ABYEE_1_1102_11837_14706|gene_ITS	3	1	0	3	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0	0	5750	0	0	0	0	0	0	53	0	0	0	0	0	2	0	0	248	0	0	1	0	0
