CM30c28	CM30c62	Plot07	LB1	Plot05	CM30c39	Plot01	CM30c53	CM31a5	CM30c46	CM30c	CM30d3	CM30c44	CM30c37	CM30c51	CM30d12	Plot03	CM30b58	CM30b60	Plot04	CM30c60	CM30b51	Plot08	LB5	CM30c30	Plot06	Plot02	CM30c35
M00598_54_000000000-ABCWN_1_1101_15405_22175|gene_16S	13	95	61	40	72	279	0	2	2	2	97	62	1	63	57	115	2	30	19	6	25	2	109	88	2	12	65	0
M00598_54_000000000-ABCWN_1_1105_17852_18279|gene_16S	0	18	149	208	129	184	602	20	53	42	38	297	157	121	224	93	55	184	254	567	36	199	22	125	1	175	27	34
M00598_54_000000000-ABCWN_1_1101_22586_12038|gene_16S	7	10	209	224	245	361	18	8	122	1359	130	185	123	161	56	167	60	148	269	60	50	86	97	401	74	195	54	14
M00598_54_000000000-ABCWN_1_1103_23472_7550|gene_16S	248	57	1	304	37	16	0	156	563	569	524	25	0	6	1	263	36	91	2	36	13	90	34	441	256	10	46	6
M00598_54_000000000-ABCWN_1_1102_16790_13140|gene_16S	2	5	17	198	78	109	2	0	51	95	76	155	14	81	8	188	18	85	22	18	19	24	243	121	19	31	114	97
M00598_54_000000000-ABCWN_1_1104_22809_9483|gene_16S	116	33	108	319	162	139	44	120	657	281	218	76	54	123	199	163	39	80	95	81	19	243	140	582	132	81	91	71
M00598_54_000000000-ABCWN_1_1108_27138_15063|gene_16S	49	467	21	30	34	0	0	0	15	6	13	20	0	22	37	113	29	34	0	1	7	4	66	46	18	3	179	38
M00598_54_000000000-ABCWN_1_2107_16345_15294|gene_16S	8	76	160	68	159	42	205	28	60	209	113	122	60	205	225	150	99	142	191	371	30	187	54	31	5	136	47	60
M00598_54_000000000-ABCWN_1_2106_25042_17373|gene_16S	44	41	7	44	29	4	587	202	84	12	37	60	40	36	45	71	44	176	106	1133	26	156	28	82	49	116	2	4
M00598_54_000000000-ABCWN_1_1103_13139_4108|gene_16S	463	455	18	264	99	33	109	1343	831	191	871	98	8	80	43	537	476	340	57	636	93	374	552	501	199	67	115	73
M00598_54_000000000-ABCWN_1_1103_7838_14343|gene_16S	17	21	127	138	234	292	61	11	139	65	91	181	103	199	213	151	70	253	251	134	56	139	84	116	29	251	93	27
M00598_54_000000000-ABCWN_1_1105_19669_2627|gene_16S	4	10	45	120	97	26	0	19	331	94	21	48	9	49	16	85	25	69	42	24	11	163	36	453	3	33	48	19
M00598_54_000000000-ABCWN_1_1117_24494_16609|gene_16S	55	288	1	171	114	37	2	84	254	142	617	76	1	164	15	71	159	126	72	31	19	68	54	79	37	31	93	124
M00598_54_000000000-ABCWN_1_1113_12532_11449|gene_16S	0	15	341	40	348	489	141	0	134	51	140	87	324	279	750	176	101	70	630	1	122	105	129	47	8	156	501	97
M00598_54_000000000-ABCWN_1_1102_27730_11867|gene_16S	102	29	5	246	44	39	0	134	184	906	138	57	0	34	5	117	22	99	1	23	3	65	74	510	276	1	75	27
M00598_54_000000000-ABCWN_1_1103_17120_1327|gene_16S	348	199	24	396	191	186	16	492	377	404	545	142	2	108	10	322	138	157	62	189	56	149	179	260	201	63	129	45
M00598_54_000000000-ABCWN_1_1102_4397_13519|gene_16S	2	14	96	64	94	12	169	6	11	1	8	62	46	93	221	9	19	94	72	323	8	92	10	26	0	116	17	37
M00598_54_000000000-ABCWN_1_1105_24232_20671|gene_16S	0	3	85	0	55	199	62	0	15	0	1	6	195	69	712	1	0	68	102	2	2	9	3	0	0	75	13	54
M00598_54_000000000-ABCWN_1_1101_10321_10186|gene_16S	129	222	8	115	106	62	4	132	281	156	670	64	4	103	13	65	60	114	116	51	39	68	129	109	43	25	218	67
M00598_54_000000000-ABCWN_1_1119_27258_16444|gene_16S	25	15	28	110	25	78	1	48	86	72	49	44	0	41	13	74	9	24	4	12	9	31	73	174	54	3	23	10
M00598_54_000000000-ABCWN_1_1101_22169_4415|gene_16S	5	331	120	28	510	13	86	29	129	39	120	28	312	82	111	18	269	235	785	41	19	332	69	11	1	502	43	77
M00598_54_000000000-ABCWN_1_1101_14499_24237|gene_16S	323	86	6	381	70	39	15	380	544	477	280	78	3	57	20	311	69	245	14	148	81	133	161	605	297	30	71	31
M00598_54_000000000-ABCWN_1_2118_28821_10541|gene_16S	1	27	202	204	126	317	19	6	31	69	26	177	139	164	117	106	46	184	305	160	26	114	160	160	8	153	37	118
M00598_54_000000000-ABCWN_1_1102_27459_7497|gene_16S	318	107	8	243	101	70	18	466	106	334	74	49	11	45	8	151	39	124	13	92	17	69	201	360	146	21	81	32
M00598_54_000000000-ABCWN_1_1103_8832_18885|gene_16S	0	11	151	24	129	735	0	2	100	62	95	36	8	182	117	196	70	41	82	17	27	58	106	5	1	24	91	130
M00598_54_000000000-ABCWN_1_1103_14322_13724|gene_16S	214	49	70	245	102	144	172	277	337	422	169	135	81	118	94	195	85	218	114	371	70	174	143	334	166	115	77	34
M00598_54_000000000-ABCWN_1_1101_13162_21906|gene_16S	369	93	0	181	42	15	3	695	245	152	427	58	0	32	2	69	34	162	1	91	40	50	77	157	191	16	34	18
M00598_54_000000000-ABCWN_1_1101_22906_17792|gene_16S	6	4	149	122	113	158	65	10	22	112	41	285	73	135	127	102	27	118	212	85	35	92	52	76	13	108	52	31
M00598_54_000000000-ABCWN_1_1104_14802_4660|gene_16S	111	48	25	151	73	49	5	154	530	378	91	82	0	95	13	164	40	72	1	51	32	144	74	258	159	44	65	39
M00598_54_000000000-ABCWN_1_1101_22493_6751|gene_16S	20	120	55	42	37	19	128	4	8	1	25	38	163	44	198	20	24	156	105	100	40	171	16	0	10	61	27	67
M00598_54_000000000-ABCWN_1_1101_9630_5625|gene_16S	3	0	351	27	68	384	13	0	16	22	64	39	228	297	86	144	21	73	469	14	69	28	59	7	0	183	51	69
M00598_54_000000000-ABCWN_1_1105_13615_17529|gene_16S	360	106	129	305	179	529	15	340	369	831	351	161	92	209	85	472	143	250	338	108	115	245	361	604	224	231	183	63
M00598_54_000000000-ABCWN_1_1101_19779_23225|gene_16S	0	0	145	6	32	109	133	6	0	0	0	22	398	35	89	3	6	75	137	76	1	69	0	5	0	31	2	6
M00598_54_000000000-ABCWN_1_1102_20835_6547|gene_16S	132	19	23	102	67	72	8	182	250	81	68	41	3	101	37	77	56	95	29	22	74	62	74	107	84	51	52	37
M00598_54_000000000-ABCWN_1_1107_13927_22813|gene_16S	1	5	78	32	25	26	5	3	0	16	0	84	19	105	17	22	12	159	97	95	1	89	23	3	0	30	7	57
M00598_54_000000000-ABCWN_1_1110_5658_13697|gene_16S	3	42	104	19	127	59	45	6	29	16	115	37	55	97	44	55	50	154	218	73	24	87	38	5	0	90	58	32
M00598_54_000000000-ABCWN_1_1110_19081_20447|gene_16S	62	29	50	249	184	85	133	108	133	360	98	149	47	138	73	228	61	201	90	178	23	150	165	323	90	176	70	40
M00598_54_000000000-ABCWN_1_2111_16033_21584|gene_16S	33	48	36	63	67	149	62	39	69	52	73	85	56	106	133	126	32	126	167	175	26	79	191	49	17	86	35	25
M00598_54_000000000-ABCWN_1_1113_15704_10362|gene_16S	3	12	4	37	90	64	179	42	170	7	5	39	103	13	25	86	20	125	63	277	4	213	39	88	21	78	10	0
M00598_54_000000000-ABCWN_1_1108_15960_3832|gene_16S	1	0	48	226	50	131	30	2	10	111	39	122	43	73	40	65	28	27	68	8	12	7	51	166	9	17	248	10
M00598_54_000000000-ABCWN_1_1108_8042_8374|gene_16S	34	29	72	143	84	140	93	31	106	80	90	137	77	190	139	92	51	155	306	140	39	93	73	181	43	116	72	41
M00598_54_000000000-ABCWN_1_1101_2620_17291|gene_16S	201	125	51	169	194	165	5	103	506	368	285	79	7	158	40	203	119	157	81	100	60	154	204	255	117	106	109	80
M00598_54_000000000-ABCWN_1_1110_22372_16938|gene_16S	1	0	80	13	26	101	391	1	1	0	1	69	117	43	124	14	16	106	181	353	11	101	7	12	0	69	5	3
M00598_54_000000000-ABCWN_1_2115_26626_9088|gene_16S	30	31	67	82	106	68	112	42	88	12	24	70	113	98	85	48	27	119	104	168	29	97	39	97	27	167	17	21
M00598_54_000000000-ABCWN_1_1108_15055_8212|gene_16S	1	2	75	4	30	158	25	0	0	0	10	52	136	39	190	17	18	109	102	4	8	124	2	0	0	105	5	9
M00598_54_000000000-ABCWN_1_1107_15770_15769|gene_16S	19	24	128	70	238	121	64	33	131	76	49	108	51	134	157	80	28	101	328	84	35	71	56	41	7	89	27	44
M00598_54_000000000-ABCWN_1_2104_27872_8219|gene_16S	40	27	124	103	125	428	31	31	109	90	54	120	20	306	153	172	73	188	257	136	62	135	152	154	26	150	90	43
